source_pdf,route_id,declared_total_trips,extracted_trips,rows_extracted,unique_stops,pdf_pages,status
FR-01_Forward.pdf,FR-01,17,17,289,17,8,PASS
FR-03A_Forward.pdf,FR-03A,97,97,1261,13,34,PASS
FR-04_Forward.pdf,FR-04,97,97,2425,25,57,PASS
FR-04A_Forward.pdf,FR-04A,33,33,231,7,8,PASS
FR-05_Forward.pdf,FR-05,193,193,2702,14,70,PASS
FR-06_Forward.pdf,FR-06,17,17,442,26,11,PASS
FR-07_Forward.pdf,FR-07,97,97,2231,23,53,PASS
FR-08A_Forward.pdf,FR-08A,209,209,4807,23,113,PASS
FR-08C_Forward.pdf,FR-08C,48,48,1104,23,27,PASS
FR-09_Forward.pdf,FR-09,65,65,1755,27,41,PASS
FR-10_Forward.pdf,FR-10,19,19,475,25,12,PASS
FR-11_Forward.pdf,FR-11,19,19,190,10,6,PASS
FR-12_Forward.pdf,FR-12,12,12,300,25,8,PASS
FR-13_Forward.pdf,FR-13,13,13,377,29,9,PASS
FR-14_Forward.pdf,FR-14,65,65,1235,19,31,PASS
FR-14A_Forward.pdf,FR-14A,65,65,910,14,24,PASS
FR-15_Forward.pdf,FR-15,33,33,528,16,14,PASS
FRB-01_Forward.pdf,FRB-01,196,196,2940,15,75,PASS
FRG-1_Forward.pdf,FRG-1,196,196,1960,10,56,PASS
ST-01_Forward.pdf,ST-01,9,9,117,13,4,PASS
ST-02_Forward.pdf,ST-02,9,9,171,19,5,PASS
