from_stop,to_stop,from_stop_normalized,to_stop_normalized,case_frequency,avg_duration_seconds,min_duration_seconds,max_duration_seconds,routes,avg_duration_label
A.K Bari Road,G-11 Markaz,a k bari road,g 11 markaz,19,160.0,160,160,FR-10,2 min 40 sec
A.K Bari Road,Police Foundation Metro Station,a k bari road,police foundation metro station,97,190.0,190,190,FR-07,3 min 10 sec
Abpara,Foreign Affairs Office,abpara,foreign affairs office,405,160.0,160,160,"FR-08A, FRG-1",2 min 40 sec
Abpara,Shakarparian Park,abpara,shakarparian park,9,370.0,370,370,ST-02,6 min 10 sec
Abpara Market,Youth Hostel,abpara market,youth hostel,97,120.0,120,120,FR-04,2 min 0 sec
Afridi Bagh,Hattar,afridi bagh,hattar,13,75.0,75,75,FR-13,1 min 15 sec
Ahmad Nagar,Shah Wali Colony Road,ahmad nagar,shah wali colony road,12,50.0,50,50,FR-12,0 min 50 sec
Airport Enclave,Madni Chowk,airport enclave,madni chowk,13,230.0,230,230,FR-13,3 min 50 sec
Aiwan e Sadar Colony,Muslim Colony,aiwan e sadar colony,muslim colony,97,80.0,80,80,FR-04,1 min 20 sec
Akbar Niazi Hospital,Phulgran,akbar niazi hospital,phulgran,65,40.0,40,40,FR-14A,0 min 40 sec
Akram City,Civil CT Road,akram city,civil ct road,13,90.0,90,90,FR-13,1 min 30 sec
Al Wadi Colony,Satra Meel,al wadi colony,satra meel,65,80.0,80,80,FR-14A,1 min 20 sec
Askari Cement Factory Road,Dhok Dhollian,askari cement factory road,dhok dhollian,12,80.0,80,80,FR-12,1 min 20 sec
Athal Chowk,Barakahu Bazar,athal chowk,barakahu bazar,65,160.0,160,160,FR-14A,2 min 40 sec
B-17 Gate no. 1,B-17 Gate no. 2,b 17 gate no 1,b 17 gate no 2,19,120.0,120,120,FR-10,2 min 0 sec
B-17 Gate no. 2,Margalla,b 17 gate no 2,margalla,19,140.0,140,140,FR-10,2 min 20 sec
Babul Quaid,Quaid Azam University,babul quaid,quaid azam university,33,160.0,160,160,FR-04A,2 min 40 sec
Bahria University,Naval Complex,bahria university,naval complex,106,105.0,105,105,"FR-03A, ST-01",1 min 45 sec
Bahtar Morh,Wah Model Town Phase 01,bahtar morh,wah model town phase 01,12,50.0,50,50,FR-12,0 min 50 sec
Bangu Chowk,Afridi Bagh,bangu chowk,afridi bagh,13,95.0,95,95,FR-13,1 min 35 sec
Bank Colony,Salai Centre,bank colony,salai centre,97,90.0,90,90,FR-04,1 min 30 sec
Bar Council,A.K Bari Road,bar council,a k bari road,97,50.0,50,50,FR-07,0 min 50 sec
Barakahu,Shahdara,barakahu,shahdara,65,130.0,130,130,FR-14,2 min 10 sec
