route_id,from_stop,to_stop,from_stop_normalized,to_stop_normalized,case_frequency,avg_duration_seconds,min_duration_seconds,max_duration_seconds,avg_duration_label,min_duration_label,max_duration_label
FR-01,CDA Complain Center,MCI Model School,cda complain center,mci model school,17,305.0,305,305,5 min 5 sec,5 min 5 sec,5 min 5 sec
FR-01,FAST University,PAEC General Hospital,fast university,paec general hospital,17,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-01,IESCO,PTCL I-10,iesco,ptcl i 10,17,90.0,90,90,1 min 30 sec,1 min 30 sec,1 min 30 sec
FR-01,IMC Hospital,Metro CNC,imc hospital,metro cnc,17,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-01,Islamic University,FAST University,islamic university,fast university,17,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-01,Kurang Road Stop,IESCO,kurang road stop,iesco,17,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-01,Mandi Morh,Kurang Road Stop,mandi morh,kurang road stop,17,85.0,85,85,1 min 25 sec,1 min 25 sec,1 min 25 sec
FR-01,Metro CNC,Sabzi Mandi,metro cnc,sabzi mandi,17,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-01,NPA Stop,Islamic University,npa stop,islamic university,17,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-01,NUST Metro Station,Police Foundation Metro Station,nust metro station,police foundation metro station,17,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-01,OGTI Stop,CDA Complain Center,ogti stop,cda complain center,17,230.0,230,230,3 min 50 sec,3 min 50 sec,3 min 50 sec
FR-01,PAEC General Hospital,IMC Hospital,paec general hospital,imc hospital,17,105.0,105,105,1 min 45 sec,1 min 45 sec,1 min 45 sec
FR-01,PTCL I-10,Sui Gas Stop,ptcl i 10,sui gas stop,17,85.0,85,85,1 min 25 sec,1 min 25 sec,1 min 25 sec
FR-01,Police Foundation Metro Station,NPA Stop,police foundation metro station,npa stop,17,150.0,150,150,2 min 30 sec,2 min 30 sec,2 min 30 sec
FR-01,Sabzi Mandi,Mandi Morh,sabzi mandi,mandi morh,17,150.0,150,150,2 min 30 sec,2 min 30 sec,2 min 30 sec
FR-01,Sui Gas Stop,OGTI Stop,sui gas stop,ogti stop,17,330.0,330,330,5 min 30 sec,5 min 30 sec,5 min 30 sec
FR-03A,Bahria University,Naval Complex,bahria university,naval complex,97,105.0,105,105,1 min 45 sec,1 min 45 sec,1 min 45 sec
FR-03A,F-7 Markaz,Flower Market,f 7 markaz,flower market,97,73.0,73,73,1 min 13 sec,1 min 13 sec,1 min 13 sec
FR-03A,F-8 Markaz,F-9 Park,f 8 markaz,f 9 park,97,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-03A,F-9 Park,Shaheen Chowk,f 9 park,shaheen chowk,97,85.0,85,85,1 min 25 sec,1 min 25 sec,1 min 25 sec
FR-03A,Faisal Masjid,Parveen Shakir Road,faisal masjid,parveen shakir road,97,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-03A,Katchery,F-8 Markaz,katchery,f 8 markaz,97,105.0,105,105,1 min 45 sec,1 min 45 sec,1 min 45 sec
FR-03A,Kohsar Road,F-7 Markaz,kohsar road,f 7 markaz,97,117.0,117,117,1 min 57 sec,1 min 57 sec,1 min 57 sec
FR-03A,Naval Complex,Faisal Masjid,naval complex,faisal masjid,97,175.0,175,175,2 min 55 sec,2 min 55 sec,2 min 55 sec
FR-03A,PIMS Hospital,PIMS Metro Station,pims hospital,pims metro station,97,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-03A,PIMS Metro Station,Katchery,pims metro station,katchery,97,220.0,220,220,3 min 40 sec,3 min 40 sec,3 min 40 sec
FR-03A,Parveen Shakir Road,Kohsar Road,parveen shakir road,kohsar road,97,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
