case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FR-01::176064-0,FR-01,176064-0,NUST Metro Station,MCI Model School,2026-04-23T06:00:00+05:00,2026-04-23T06:45:00+05:00,2700,45 min 0 sec,17
FR-01::176065-0,FR-01,176065-0,NUST Metro Station,MCI Model School,2026-04-23T07:00:00+05:00,2026-04-23T07:45:00+05:00,2700,45 min 0 sec,17
FR-01::176066-0,FR-01,176066-0,NUST Metro Station,MCI Model School,2026-04-23T08:00:00+05:00,2026-04-23T08:45:00+05:00,2700,45 min 0 sec,17
FR-01::176067-0,FR-01,176067-0,NUST Metro Station,MCI Model School,2026-04-23T09:00:00+05:00,2026-04-23T09:45:00+05:00,2700,45 min 0 sec,17
FR-01::176068-0,FR-01,176068-0,NUST Metro Station,MCI Model School,2026-04-23T10:00:00+05:00,2026-04-23T10:45:00+05:00,2700,45 min 0 sec,17
FR-01::176069-0,FR-01,176069-0,NUST Metro Station,MCI Model School,2026-04-23T11:00:00+05:00,2026-04-23T11:45:00+05:00,2700,45 min 0 sec,17
FR-01::176070-0,FR-01,176070-0,NUST Metro Station,MCI Model School,2026-04-23T12:00:00+05:00,2026-04-23T12:45:00+05:00,2700,45 min 0 sec,17
FR-01::176071-0,FR-01,176071-0,NUST Metro Station,MCI Model School,2026-04-23T13:00:00+05:00,2026-04-23T13:45:00+05:00,2700,45 min 0 sec,17
FR-01::176072-0,FR-01,176072-0,NUST Metro Station,MCI Model School,2026-04-23T14:00:00+05:00,2026-04-23T14:45:00+05:00,2700,45 min 0 sec,17
FR-01::176073-0,FR-01,176073-0,NUST Metro Station,MCI Model School,2026-04-23T15:00:00+05:00,2026-04-23T15:45:00+05:00,2700,45 min 0 sec,17
FR-01::176074-0,FR-01,176074-0,NUST Metro Station,MCI Model School,2026-04-23T16:00:00+05:00,2026-04-23T16:45:00+05:00,2700,45 min 0 sec,17
FR-01::176075-0,FR-01,176075-0,NUST Metro Station,MCI Model School,2026-04-23T17:00:00+05:00,2026-04-23T17:45:00+05:00,2700,45 min 0 sec,17
FR-01::176076-0,FR-01,176076-0,NUST Metro Station,MCI Model School,2026-04-23T18:00:00+05:00,2026-04-23T18:45:00+05:00,2700,45 min 0 sec,17
FR-01::176077-0,FR-01,176077-0,NUST Metro Station,MCI Model School,2026-04-23T19:00:00+05:00,2026-04-23T19:45:00+05:00,2700,45 min 0 sec,17
FR-01::176078-0,FR-01,176078-0,NUST Metro Station,MCI Model School,2026-04-23T20:00:00+05:00,2026-04-23T20:45:00+05:00,2700,45 min 0 sec,17
