stop_name_normalized,stop_name,routes,route_count,first_seen_sequence,latitude,longitude,coordinate_quality,coordinate_note,google_latitude,google_longitude,verification_note
a k bari road,A.K Bari Road,"FR-07, FR-10",2,4,33.6625,72.9928,verified,Seed coordinate for key Islamabad stop.,,,
abpara,Abpara,"FR-08A, FRG-1, ST-02",3,5,33.7118,73.0906,verified,Seed coordinate for key Islamabad stop.,,,
abpara market,Abpara Market,FR-04,1,11,33.7118,73.0906,verified,Seed coordinate for key Islamabad stop.,,,
afridi bagh,Afridi Bagh,FR-13,1,22,33.6065,72.7314,verified,Seed coordinate for key Islamabad stop.,,,
ahmad nagar,Ahmad Nagar,FR-12,1,18,33.6552,72.9345,verified,Seed coordinate for key Islamabad stop.,,,
airport enclave,Airport Enclave,FR-13,1,9,33.6042,72.853,verified,Seed coordinate for key Islamabad stop.,,,
aiwan e sadar colony,Aiwan e Sadar Colony,FR-04,1,23,33.731,73.1025,verified,Seed coordinate for key Islamabad stop.,,,
akbar niazi hospital,Akbar Niazi Hospital,FR-14A,1,9,33.765,73.2185,verified,Seed coordinate for key Islamabad stop.,,,
akram city,Akram City,FR-13,1,27,33.6185,72.942,verified,Seed coordinate for key Islamabad stop.,,,
al wadi colony,Al Wadi Colony,FR-14A,1,13,33.7682,73.2214,verified,Seed coordinate for key Islamabad stop.,,,
askari cement factory road,Askari Cement Factory Road,FR-12,1,21,33.742,72.7215,verified,Seed coordinate for key Islamabad stop.,,,
athal chowk,Athal Chowk,FR-14A,1,4,33.746,73.2155,verified,Seed coordinate for key Islamabad stop.,,,
b 17 gate no 1,B-17 Gate no. 1,FR-10,1,19,33.6935,72.7985,verified,Seed coordinate for key Islamabad stop.,,,
b 17 gate no 2,B-17 Gate no. 2,FR-10,1,20,33.675,72.822,verified,Seed coordinate for key Islamabad stop.,,,
babul quaid,Babul Quaid,FR-04A,1,6,33.642,72.981,verified,Seed coordinate for key Islamabad stop.,,,
bahria university,Bahria University,"FR-03A, ST-01",2,7,33.7144,73.036,verified,Seed coordinate for key Islamabad stop.,,,
bahtar morh,Bahtar Morh,FR-12,1,10,33.648,72.671,verified,Seed coordinate for key Islamabad stop.,,,
bangu chowk,Bangu Chowk,FR-13,1,21,33.7052,72.9658,verified,Seed coordinate for key Islamabad stop.,,,
bank colony,Bank Colony,FR-04,1,4,33.6335,73.101,verified,Seed coordinate for key Islamabad stop.,,,
bar council,Bar Council,FR-07,1,21,33.7115,73.0428,verified,Seed coordinate for key Islamabad stop.,,,
barakahu,Barakahu,"FR-14, FRG-1",2,1,33.742,73.193,verified,Seed coordinate for key Islamabad stop.,,,
barakahu bazar,Barakahu Bazar,FR-14A,1,5,33.742,73.193,verified,Seed coordinate for key Islamabad stop.,,,
barakahu terminal,Barakahu Terminal,FR-14A,1,1,33.7445,73.195,verified,Seed coordinate for key Islamabad stop.,,,
bari imam,Bari Imam,"FR-04, FR-04A",2,1,33.7455,73.088,verified,Seed coordinate for key Islamabad stop.,,,
basti,Basti,FR-12,1,15,33.7432,73.0905,verified,Seed coordinate for key Islamabad stop.,,,
bhera pull,Bhera Pull,FR-14A,1,6,33.742,73.2085,verified,Seed coordinate for key Islamabad stop.,,,
british homes,British Homes,FR-09,1,20,33.6468,73.0645,verified,Seed coordinate for key Islamabad stop.,,,
c type quaid e azam colony,C-Type Quaid-e-Azam Colony,FR-04A,1,5,33.644,73.0815,verified,Seed coordinate for key Islamabad stop.,,,
cda,CDA,"FR-08A, FRG-1, ST-02",3,4,33.7025,73.061,verified,Seed coordinate for key Islamabad stop.,,,
cda complain center,CDA Complain Center,FR-01,1,16,33.7025,73.061,verified,Seed coordinate for key Islamabad stop.,,,
cda stop,CDA Stop,"FR-09, FR-14",2,12,33.6582,73.0645,verified,Seed coordinate for key Islamabad stop.,,,
comsats university,COMSATS University,"FR-08A, FR-08C, ST-02",3,17,33.6515,73.1565,verified,Seed coordinate for key Islamabad stop.,,,
ctti,CTTI,FR-09,1,18,33.631,72.982,verified,Seed coordinate for key Islamabad stop.,,,
capt naeem tufail shaheed chow,Capt. Naeem Tufail Shaheed Chow,"FR-08A, FR-08C, ST-02",3,19,33.618,73.1415,verified,Seed coordinate for key Islamabad stop.,,,
carriage factory,Carriage Factory,FR-09,1,16,33.6415,73.0485,verified,Seed coordinate for key Islamabad stop.,,,
chaman metro station,Chaman Metro Station,"FR-06, FR-07",2,4,33.6655,73.0185,verified,Seed coordinate for key Islamabad stop.,,,
chatta bakhtawar,Chatta Bakhtawar,"FR-08A, FR-08C, ST-02",3,15,33.671,73.136,verified,Seed coordinate for key Islamabad stop.,,,
children hospital,Children Hospital,"FR-04, FR-07, FR-08A, FR-08C, FRB-01, FRG-1",6,2,33.7042,73.0475,verified,Seed coordinate for key Islamabad stop.,,,
chishtiabad,Chishtiabad,FR-09,1,24,33.621,73.0645,verified,Seed coordinate for key Islamabad stop.,,,
civil ct road,Civil CT Road,FR-13,1,28,33.6085,73.0555,verified,Seed coordinate for key Islamabad stop.,,,
col ammanullah road,Col. Ammanullah Road,FR-14A,1,3,33.6645,73.0725,verified,Seed coordinate for key Islamabad stop.,,,
college morh,College Morh,FR-07,1,12,33.6812,73.0125,verified,Seed coordinate for key Islamabad stop.,,,
commmunity health center,Commmunity Health Center,FR-04A,1,3,33.682,73.0515,verified,Seed coordinate for key Islamabad stop.,,,
d 12,D-12,FR-05,1,14,33.7145,72.9525,verified,Seed coordinate for key Islamabad stop.,,,
d 12 markaz,D-12 Markaz,"FR-05, FR-10",2,13,33.7145,72.9525,verified,Seed coordinate for key Islamabad stop.,,,
d 12 service road,D-12 Service Road,"FR-05, FR-10",2,11,33.7105,72.959,verified,Seed coordinate for key Islamabad stop.,,,
d type quaid e azam colony,D-Type Quaid e Azam Colony,FR-04A,1,4,33.6415,73.0845,verified,Seed coordinate for key Islamabad stop.,,,
dha gate 07,DHA Gate 07,FR-15,1,14,33.535,73.161,verified,Seed coordinate for key Islamabad stop.,,,
dha gate 08,DHA Gate 08,FR-15,1,13,33.5298,73.1645,verified,Seed coordinate for key Islamabad stop.,,,
daman e koh,Daman e Koh,ST-01,1,13,33.738,73.056,verified,Seed coordinate for key Islamabad stop.,,,
dental hospital,Dental Hospital,FR-07,1,4,33.7165,73.0835,verified,Seed coordinate for key Islamabad stop.,,,
development park,Development Park,FR-07,1,6,33.7055,73.0725,verified,Seed coordinate for key Islamabad stop.,,,
dhok badam,Dhok Badam,FR-14A,1,11,33.6555,73.0445,verified,Seed coordinate for key Islamabad stop.,,,
dhok dhollian,Dhok Dhollian,FR-12,1,22,33.6485,73.0615,verified,Seed coordinate for key Islamabad stop.,,,
dhok kala khan,Dhok Kala Khan,"FR-09, FRB-01",2,5,33.6533,73.0906,verified,Seed coordinate for key Islamabad stop.,,,
dhok miskeen,Dhok Miskeen,FR-13,1,14,33.7385,73.1845,verified,Seed coordinate for key Islamabad stop.,,,
dhokri stop,Dhokri Stop,FR-14,1,5,33.7155,73.099,verified,Seed coordinate for key Islamabad stop.,,,
dhuma,Dhuma,FR-13,1,11,33.7715,73.2285,verified,Seed coordinate for key Islamabad stop.,,,
diplomatic enclave gate 4,Diplomatic Enclave Gate 4,FR-04,1,22,33.719,73.111,verified,Seed coordinate for key Islamabad stop.,,,
doiyan,Doiyan,FR-13,1,19,33.7655,73.1945,verified,Seed coordinate for key Islamabad stop.,,,
e 11 2 fechs islamabad international hospita,E-11/2 / FECHS / Islamabad International Hospita,FR-05,1,10,33.6965,72.9755,verified,Seed coordinate for key Islamabad stop.,,,
f 10 markaz,F-10 Markaz,FR-06,1,17,33.6931,72.9865,manual,Seed coordinate for key Islamabad stop.,,,
f 10 f 11 chowk,F-10/F-11 Chowk,FR-06,1,20,33.6945,72.9985,verified,Seed coordinate for key Islamabad stop.,,,
f 11 markaz,F-11 Markaz,"FR-06, FR-10",2,8,33.6845,72.9875,verified,Seed coordinate for key Islamabad stop.,,,
f 7 markaz,F-7 Markaz,FR-03A,1,12,33.7125,73.039,verified,Seed coordinate for key Islamabad stop.,,,
f 8 markaz,F-8 Markaz,"FR-03A, ST-01",2,4,33.7125,73.039,verified,Seed coordinate for key Islamabad stop.,,,
f 9 park,F-9 Park,"FR-03A, FR-06, ST-01",3,5,33.702,73.0169,verified,Seed coordinate for key Islamabad stop.,,,
fast university,FAST University,FR-01,1,5,33.6425,73.0232,verified,Seed coordinate for key Islamabad stop.,,,
faisal masjid,Faisal Masjid,"FR-03A, ST-01",2,9,33.7299,73.0372,verified,Seed coordinate for key Islamabad stop.,,,
faisal morh f 7 f 8,Faisal Morh F-7/F-8,ST-01,1,2,33.7145,73.0485,verified,Seed coordinate for key Islamabad stop.,,,
faizabad,Faizabad,FR-08C,1,6,33.6642,73.0833,manual,Seed coordinate for key Islamabad stop.,,,
faizabad metro station,Faizabad Metro Station,"FR-09, FR-14",2,7,33.6636,73.0841,verified,Seed coordinate for key Islamabad stop.,,,
fateh jang,Fateh Jang,FR-13,1,29,33.5665,72.642,verified,Seed coordinate for key Islamabad stop.,,,
fauji colony,Fauji Colony,FR-09,1,15,33.6345,73.0325,verified,Seed coordinate for key Islamabad stop.,,,
fazaia,Fazaia,"FR-15, FRB-01",2,2,33.6288,73.1315,verified,Seed coordinate for key Islamabad stop.,,,
fazaia housing scheme,Fazaia Housing Scheme,FR-06,1,13,33.6288,73.1315,verified,Seed coordinate for key Islamabad stop.,,,
federal government college,Federal Government College,FR-10,1,7,33.7015,73.0685,verified,Seed coordinate for key Islamabad stop.,,,
flower market,Flower Market,FR-03A,1,13,33.7085,73.0385,verified,Seed coordinate for key Islamabad stop.,,,
foreign affairs office,Foreign Affairs Office,"FR-08A, FRG-1",2,6,33.7295,73.0935,verified,Seed coordinate for key Islamabad stop.,,,
g 10 markaz,G-10 Markaz,FR-07,1,13,33.6775,73.011,verified,Seed coordinate for key Islamabad stop.,,,
g 10 metro station,G-10 Metro Station,FR-05,1,3,33.673,73.0335,verified,Seed coordinate for key Islamabad stop.,,,
g 10 g 11,G-10/G-11,FR-07,1,16,33.671,73.0035,verified,Seed coordinate for key Islamabad stop.,,,
g 11 markaz,G-11 Markaz,"FR-07, FR-10",2,5,33.6685,72.9982,verified,Seed coordinate for key Islamabad stop.,,,
g 13 metro station,G-13 Metro Station,FR-10,1,2,33.6555,72.9715,verified,Seed coordinate for key Islamabad stop.,,,
g 15 h 15,G-15/H-15,FR-13,1,3,33.6335,72.9245,verified,Seed coordinate for key Islamabad stop.,,,
g 16 1,G-16/1,FR-13,1,5,33.6265,72.9035,verified,Seed coordinate for key Islamabad stop.,,,
g 16 h 16,G-16/H-16,FR-13,1,4,33.6215,72.9115,verified,Seed coordinate for key Islamabad stop.,,,
g 6 1 2,G-6/1.2,FR-04,1,9,33.7195,73.0815,verified,Seed coordinate for key Islamabad stop.,,,
g 8 markaz,G-8 Markaz,FR-07,1,5,33.699,73.0475,verified,Seed coordinate for key Islamabad stop.,,,
g 9 markaz,G-9 Markaz,"FR-06, FR-07",2,9,33.6903,73.0287,verified,Seed coordinate for key Islamabad stop.,,,
g 9 1 and g 9 4,G-9/1 and G-9/4,FR-06,1,8,33.6855,73.0215,verified,Seed coordinate for key Islamabad stop.,,,
g 9 3,G-9/3,FR-06,1,10,33.6853,73.0338,verified,Seed coordinate for key Islamabad stop.,,,
g 9 4,G-9/4,FR-07,1,8,33.6825,73.0265,verified,Seed coordinate for key Islamabad stop.,,,
g 9 4 park,G-9/4 Park,FR-06,1,6,33.6825,73.0265,verified,Seed coordinate for key Islamabad stop.,,,
g10 g11,G10/G11,FR-05,1,5,33.671,73.0035,verified,Seed coordinate for key Islamabad stop.,,,
gangal,Gangal,"FR-15, FRB-01",2,3,33.6215,73.1368,verified,Seed coordinate for key Islamabad stop.,,,
garden avenue,Garden Avenue,"FR-08C, FR-14",2,8,33.6915,73.0665,verified,Seed coordinate for key Islamabad stop.,,,
garhi hasu khan,Garhi Hasu Khan,FR-13,1,25,33.7545,73.1215,verified,Seed coordinate for key Islamabad stop.,,,
golra morh,Golra Morh,"FR-09, FR-10, FR-11",3,1,33.6475,73.0115,verified,Seed coordinate for key Islamabad stop.,,,
golra morh metro station,Golra Morh Metro Station,"FR-09, FR-11, FR-13",3,1,33.6475,73.0115,verified,Seed coordinate for key Islamabad stop.,,,
golra sharif f 11 3,Golra Sharif F-11/3,"FR-06, FR-10",2,10,33.693,72.99,verified,Seed coordinate for key Islamabad stop.,,,
golra sharif,Golra sharif,FR-06,1,26,33.6912,72.9734,verified,Seed coordinate for key Islamabad stop.,,,
graceland housing society,Graceland Housing Society,FR-13,1,16,33.601,72.795,verified,Seed coordinate for key Islamabad stop.,,,
green avenue,Green Avenue,"FR-08A, FR-08C, ST-02",3,14,33.672,73.151,verified,Seed coordinate for key Islamabad stop.,,,
gulberg,Gulberg,"FR-15, FRB-01",2,5,33.5936,73.1652,verified,Seed coordinate for key Islamabad stop.,,,
gulshan al huda community,Gulshan Al Huda Community,"FR-08A, FR-08C",2,19,33.664,73.153,verified,Seed coordinate for key Islamabad stop.,,,
gulshan e anwar,Gulshan e Anwar,FR-12,1,5,33.752,72.776,verified,Seed coordinate for key Islamabad stop.,,,
h 8,H-8,"FR-08C, FRB-01",2,4,33.668,73.058,verified,Seed coordinate for key Islamabad stop.,,,
hammad uddin road,Hammad Uddin Road,FR-10,1,6,33.624,73.089,verified,Seed coordinate for key Islamabad stop.,,,
hassan abdal,Hassan Abdal,FR-12,1,24,33.82,72.689,verified,Seed coordinate for key Islamabad stop.,,,
