route_id,long_name,stop_sequence,stop_name,stop_name_normalized,latitude,longitude,coordinate_quality
FR-01,Khana Pul to NUST,1,NUST Metro Station,nust metro station,33.644,72.991,verified
FR-01,Khana Pul to NUST,2,Police Foundation Metro Station,police foundation metro station,33.6457,72.9662,verified
FR-01,Khana Pul to NUST,3,NPA Stop,npa stop,33.6441,73.0012,verified
FR-01,Khana Pul to NUST,4,Islamic University,islamic university,33.6593,73.0242,verified
FR-01,Khana Pul to NUST,5,FAST University,fast university,33.6425,73.0232,verified
FR-01,Khana Pul to NUST,6,PAEC General Hospital,paec general hospital,33.6305,73.0633,verified
FR-01,Khana Pul to NUST,7,IMC Hospital,imc hospital,33.6669,72.9961,verified
FR-01,Khana Pul to NUST,8,Metro CNC,metro cnc,33.6644,73.052,verified
FR-01,Khana Pul to NUST,9,Sabzi Mandi,sabzi mandi,33.6455,73.0336,verified
FR-01,Khana Pul to NUST,10,Mandi Morh,mandi morh,33.6517,73.0392,verified
FR-01,Khana Pul to NUST,11,Kurang Road Stop,kurang road stop,33.642,73.134,verified
FR-01,Khana Pul to NUST,12,IESCO,iesco,33.6932,73.0648,verified
FR-01,Khana Pul to NUST,13,PTCL I-10,ptcl i 10,33.6445,73.0415,verified
FR-01,Khana Pul to NUST,14,Sui Gas Stop,sui gas stop,33.6545,73.056,verified
FR-01,Khana Pul to NUST,15,OGTI Stop,ogti stop,33.6455,73.0285,verified
FR-01,Khana Pul to NUST,16,CDA Complain Center,cda complain center,33.7025,73.061,verified
FR-01,Khana Pul to NUST,17,MCI Model School,mci model school,33.7045,73.0815,verified
FR-03A,PIMS Hospital to Faisal Masjid,1,PIMS Hospital,pims hospital,33.705,73.048,verified
FR-03A,PIMS Hospital to Faisal Masjid,2,PIMS Metro Station,pims metro station,33.705,73.048,verified
FR-03A,PIMS Hospital to Faisal Masjid,3,Katchery,katchery,33.704,73.042,verified
FR-03A,PIMS Hospital to Faisal Masjid,4,F-8 Markaz,f 8 markaz,33.7125,73.039,verified
FR-03A,PIMS Hospital to Faisal Masjid,5,F-9 Park,f 9 park,33.702,73.0169,verified
FR-03A,PIMS Hospital to Faisal Masjid,6,Shaheen Chowk,shaheen chowk,33.7126,73.0185,verified
