stop_name_normalized,stop_name,latitude,longitude,coordinate_quality,coordinate_note
a k bari road,A.K Bari Road,33.6625,72.9928,verified,Seed coordinate for key Islamabad stop.
abpara,Abpara,33.7118,73.0906,verified,Seed coordinate for key Islamabad stop.
abpara market,Abpara Market,33.7118,73.0906,verified,Seed coordinate for key Islamabad stop.
afridi bagh,Afridi Bagh,33.6065,72.7314,verified,Seed coordinate for key Islamabad stop.
ahmad nagar,Ahmad Nagar,33.6552,72.9345,verified,Seed coordinate for key Islamabad stop.
airport enclave,Airport Enclave,33.6042,72.853,verified,Seed coordinate for key Islamabad stop.
aiwan e sadar colony,Aiwan e Sadar Colony,33.731,73.1025,verified,Seed coordinate for key Islamabad stop.
akbar niazi hospital,Akbar Niazi Hospital,33.765,73.2185,verified,Seed coordinate for key Islamabad stop.
akram city,Akram City,33.6185,72.942,verified,Seed coordinate for key Islamabad stop.
al wadi colony,Al Wadi Colony,33.7682,73.2214,verified,Seed coordinate for key Islamabad stop.
askari cement factory road,Askari Cement Factory Road,33.742,72.7215,verified,Seed coordinate for key Islamabad stop.
athal chowk,Athal Chowk,33.746,73.2155,verified,Seed coordinate for key Islamabad stop.
b 17 gate no 1,B-17 Gate no. 1,33.6935,72.7985,verified,Seed coordinate for key Islamabad stop.
b 17 gate no 2,B-17 Gate no. 2,33.675,72.822,verified,Seed coordinate for key Islamabad stop.
babul quaid,Babul Quaid,33.642,72.981,verified,Seed coordinate for key Islamabad stop.
bahria university,Bahria University,33.7144,73.036,verified,Seed coordinate for key Islamabad stop.
bahtar morh,Bahtar Morh,33.648,72.671,verified,Seed coordinate for key Islamabad stop.
bangu chowk,Bangu Chowk,33.7052,72.9658,verified,Seed coordinate for key Islamabad stop.
bank colony,Bank Colony,33.6335,73.101,verified,Seed coordinate for key Islamabad stop.
bar council,Bar Council,33.7115,73.0428,verified,Seed coordinate for key Islamabad stop.
barakahu,Barakahu,33.742,73.193,verified,Seed coordinate for key Islamabad stop.
barakahu bazar,Barakahu Bazar,33.742,73.193,verified,Seed coordinate for key Islamabad stop.
barakahu terminal,Barakahu Terminal,33.7445,73.195,verified,Seed coordinate for key Islamabad stop.
bari imam,Bari Imam,33.7455,73.088,verified,Seed coordinate for key Islamabad stop.
basti,Basti,33.7432,73.0905,verified,Seed coordinate for key Islamabad stop.
bhera pull,Bhera Pull,33.742,73.2085,verified,Seed coordinate for key Islamabad stop.
british homes,British Homes,33.6468,73.0645,verified,Seed coordinate for key Islamabad stop.
c type quaid e azam colony,C-Type Quaid-e-Azam Colony,33.644,73.0815,verified,Seed coordinate for key Islamabad stop.
cda,CDA,33.7025,73.061,verified,Seed coordinate for key Islamabad stop.
cda complain center,CDA Complain Center,33.7025,73.061,verified,Seed coordinate for key Islamabad stop.
cda stop,CDA Stop,33.6582,73.0645,verified,Seed coordinate for key Islamabad stop.
comsats university,COMSATS University,33.6515,73.1565,verified,Seed coordinate for key Islamabad stop.
ctti,CTTI,33.631,72.982,verified,Seed coordinate for key Islamabad stop.
capt naeem tufail shaheed chow,Capt. Naeem Tufail Shaheed Chow,33.618,73.1415,verified,Seed coordinate for key Islamabad stop.
carriage factory,Carriage Factory,33.6415,73.0485,verified,Seed coordinate for key Islamabad stop.
chaman metro station,Chaman Metro Station,33.6655,73.0185,verified,Seed coordinate for key Islamabad stop.
chatta bakhtawar,Chatta Bakhtawar,33.671,73.136,verified,Seed coordinate for key Islamabad stop.
children hospital,Children Hospital,33.7042,73.0475,verified,Seed coordinate for key Islamabad stop.
