stop_name_normalized,stop_name,latitude,longitude,coordinate_quality,coordinate_note
bar council,Bar Council,33.7115,73.0428,verified,User-provided precise coordinate batch.
barakahu terminal,Barakahu Terminal,33.7445,73.1950,verified,User-provided precise coordinate batch.
basti,Basti,33.7432,73.0905,verified,User-provided precise coordinate batch.
bhera pull,Bhera Pull,33.7420,73.2085,verified,User-provided precise coordinate batch.
c type quaid e azam colony,C-Type Quaid-e-Azam Colony,33.6440,73.0815,verified,User-provided precise coordinate batch.
cda,CDA,33.7025,73.0610,verified,User-provided precise coordinate batch.
capt naeem tufail shaheed chow,Capt. Naeem Tufail Shaheed Chow,33.6180,73.1415,verified,User-provided precise coordinate batch.
carriage factory,Carriage Factory,33.6415,73.0485,verified,User-provided precise coordinate batch.
chishtiabad,Chishtiabad,33.6210,73.0645,verified,User-provided precise coordinate batch.
civil ct road,Civil CT Road,33.6085,73.0555,verified,User-provided precise coordinate batch.
col ammanullah road,Col. Ammanullah Road,33.6645,73.0725,verified,User-provided precise coordinate batch.
commmunity health center,Commmunity Health Center,33.6820,73.0515,verified,User-provided precise coordinate batch.
d 12,D-12,33.7145,72.9525,verified,User-provided precise coordinate batch.
d 12 service road,D-12 Service Road,33.7105,72.9590,verified,User-provided precise coordinate batch.
d type quaid e azam colony,D-Type Quaid e Azam Colony,33.6415,73.0845,verified,User-provided precise coordinate batch.
dental hospital,Dental Hospital,33.7165,73.0835,verified,User-provided precise coordinate batch.
development park,Development Park,33.7055,73.0725,verified,User-provided precise coordinate batch.
dhok badam,Dhok Badam,33.6555,73.0445,verified,User-provided precise coordinate batch.
dhok dhollian,Dhok Dhollian,33.6485,73.0615,verified,User-provided precise coordinate batch.
dhok miskeen,Dhok Miskeen,33.7385,73.1845,verified,User-provided precise coordinate batch.
dhokri stop,Dhokri Stop,33.7155,73.0990,verified,User-provided precise coordinate batch.
dhuma,Dhuma,33.7715,73.2285,verified,User-provided precise coordinate batch.
doiyan,Doiyan,33.7655,73.1945,verified,User-provided precise coordinate batch.
e 11 2 fechs islamabad international hospita,E-11/2 / FECHS / Islamabad International Hospita,33.6965,72.9755,verified,User-provided precise coordinate batch.
f 10 f 11 chowk,F-10/F-11 Chowk,33.6945,72.9985,verified,User-provided precise coordinate batch.
faisal morh f 7 f 8,Faisal Morh F-7/F-8,33.7145,73.0485,verified,User-provided precise coordinate batch.
fauji colony,Fauji Colony,33.6345,73.0325,verified,User-provided precise coordinate batch.
federal government college,Federal Government College,33.7015,73.0685,verified,User-provided precise coordinate batch.
flower market,Flower Market,33.7085,73.0385,verified,User-provided precise coordinate batch.
foreign affairs office,Foreign Affairs Office,33.7295,73.0935,verified,User-provided precise coordinate batch.
g 10 metro station,G-10 Metro Station,33.6730,73.0335,verified,User-provided precise coordinate batch.
g 15 h 15,G-15/H-15,33.6335,72.9245,verified,User-provided precise coordinate batch.
g 16 1,G-16/1,33.6265,72.9035,verified,User-provided precise coordinate batch.
g 16 h 16,G-16/H-16,33.6215,72.9115,verified,User-provided precise coordinate batch.
g 6 1 2,G-6/1.2,33.7195,73.0815,verified,User-provided precise coordinate batch.
g 9 1 and g 9 4,G-9/1 and G-9/4,33.6855,73.0215,verified,User-provided precise coordinate batch.
g 9 4,G-9/4,33.6825,73.0265,verified,User-provided precise coordinate batch.
g 9 4 park,G-9/4 Park,33.6825,73.0265,verified,User-provided precise coordinate batch.
g10 g11,G10/G11,33.6710,73.0035,verified,User-provided precise coordinate batch.
garden avenue,Garden Avenue,33.6915,73.0665,verified,User-provided precise coordinate batch.
garhi hasu khan,Garhi Hasu Khan,33.7545,73.1215,verified,User-provided precise coordinate batch.
golra morh,Golra Morh,33.6475,73.0115,verified,User-provided precise coordinate batch.
kohinoor mill colony,Kohinoor Mill Colony,33.6295,73.0165,verified,User-provided precise coordinate batch.
kohsar road f 7 marka,Kohsar Road/F-7 Marka,33.7255,73.0615,verified,User-provided precise coordinate batch.
losar sharfoo,Losar Sharfoo,33.7515,72.7835,verified,User-provided precise coordinate batch.
mci model school,MCI Model School,33.7045,73.0815,verified,User-provided precise coordinate batch.
madni chowk,Madni Chowk,33.6410,73.0530,verified,User-provided precise coordinate batch.
major road,Major Road,33.6555,73.0765,verified,User-provided precise coordinate batch.
malakand stop,Malakand Stop,33.7842,72.7215,verified,User-provided precise coordinate batch.
malpur,Malpur,33.7277,73.1497,verified,User-provided precise coordinate batch.
mangial link road 1,Mangial Link Road 1,33.6012,72.7935,verified,User-provided precise coordinate batch.
mangial link road 2,Mangial Link Road 2,33.6045,72.7880,verified,User-provided precise coordinate batch.
mangial main stop,Mangial Main Stop,33.6005,72.7820,verified,User-provided precise coordinate batch.
mangu town,Mangu Town,33.7410,73.1750,verified,User-provided precise coordinate batch.
margalla,Margalla,33.7435,73.0230,verified,User-provided precise coordinate batch.
margalla town,Margalla Town,33.6738,73.1165,verified,User-provided precise coordinate batch.
masjid abu al qasim,Masjid Abu Al Qasim,33.6050,72.9020,verified,User-provided precise coordinate batch.
mehrabad,Mehrabad,33.6740,72.9915,verified,User-provided precise coordinate batch.
melody market,Melody Market,33.7088,73.0782,verified,User-provided precise coordinate batch.
metropolitan corporation,Metropolitan Corporation,33.7210,73.0945,verified,User-provided precise coordinate batch.
ministry of foreign affairs,Ministry of Foreign Affairs,33.7295,73.0935,verified,User-provided precise coordinate batch.
mohri patak,Mohri Patak,33.6210,73.0845,verified,User-provided precise coordinate batch.
motorway chowk,Motorway Chowk,33.6412,72.9340,verified,User-provided precise coordinate batch.
muhallah noori bagh,Muhallah Noori Bagh,33.7480,73.2015,verified,User-provided precise coordinate batch.
multy stop,Multy Stop,33.6330,72.9465,verified,User-provided precise coordinate batch.
multy stop islamabad gardens,Multy Stop/Islamabad Gardens,33.6330,72.9465,verified,User-provided precise coordinate batch.
murghzar zoo,Murghzar Zoo,33.7380,73.0790,verified,User-provided precise coordinate batch.
muslim colony,Muslim Colony,33.7435,73.1045,verified,User-provided precise coordinate batch.
n 5 metro station,N-5 Metro Station,33.6265,72.9155,verified,User-provided precise coordinate batch.
n a r c colony,N.A.R.C Colony,33.6765,73.1255,verified,User-provided precise coordinate batch.
n i h allergy center,N.I.H Allergy Center,33.6780,73.1415,verified,User-provided precise coordinate batch.
n5 metro station,N5 Metro Station,33.6265,72.9155,verified,User-provided precise coordinate batch.
nadra chowk,NADRA Chowk,33.7265,73.0985,verified,User-provided precise coordinate batch.
narc colony,NARC Colony,33.6765,73.1255,verified,User-provided precise coordinate batch.
nih allergy center,NIH Allergy Center,33.6780,73.1415,verified,User-provided precise coordinate batch.
nori hospital,NORI Hospital,33.6930,73.0615,verified,User-provided precise coordinate batch.
npf housing society,NPF Housing Society,33.5685,73.1515,verified,User-provided precise coordinate batch.
nai abadi,Nai Abadi,33.6365,73.0895,verified,User-provided precise coordinate batch.
national library,National Library,33.7315,73.1015,verified,User-provided precise coordinate batch.
nawab abad,Nawab Abad,33.7555,72.7845,verified,User-provided precise coordinate batch.
new city phase 01,New City Phase 01,33.7485,72.7635,verified,User-provided precise coordinate batch.
new city phase 02,New City Phase 02,33.7380,72.7485,verified,User-provided precise coordinate batch.
ogti stop,OGTI Stop,33.6455,73.0285,verified,User-provided precise coordinate batch.
opf girls college,OPF Girls College,33.7160,73.0325,verified,User-provided precise coordinate batch.
paf hospital,PAF Hospital,33.7125,73.0145,verified,User-provided precise coordinate batch.
pechs,PECHS,33.6065,72.8435,verified,User-provided precise coordinate batch.
ptcl f 11,PTCL F-11,33.6840,72.9825,verified,User-provided precise coordinate batch.
ptcl i 10,PTCL I-10,33.6445,73.0415,verified,User-provided precise coordinate batch.
pakistan gate,Pakistan gate,33.4995,73.2435,verified,User-provided precise coordinate batch.
parveen shakir road,Parveen Shakir Road,33.6845,73.0385,verified,User-provided precise coordinate batch.
phulgran,Phulgran,33.7545,73.2285,verified,User-provided precise coordinate batch.
pir wadhai morh,Pir Wadhai Morh,33.6450,73.0255,verified,User-provided precise coordinate batch.
police foundation,Police Foundation,33.5835,73.1445,verified,User-provided precise coordinate batch.
prem nagar faqeeran,Prem Nagar Faqeeran,33.6495,73.0785,verified,User-provided precise coordinate batch.
punjab college,Punjab College,33.6545,73.1365,verified,User-provided precise coordinate batch.
quaid azam university,Quaid Azam University,33.7485,73.1390,verified,User-provided precise coordinate batch.
qutbal,Qutbal,33.5855,72.6935,verified,User-provided precise coordinate batch.
radio pakistan,Radio Pakistan,33.7295,73.0915,verified,User-provided precise coordinate batch.
rafiullah shaheed chowk,Rafiullah Shaheed Chowk,33.6025,73.1115,verified,User-provided precise coordinate batch.
rawal dam chowk,Rawal Dam Chowk,33.7085,73.0985,verified,User-provided precise coordinate batch.
rawal dam colony,Rawal Dam Colony,33.6965,73.1145,verified,User-provided precise coordinate batch.
rawal town,Rawal Town,33.6815,73.1165,verified,User-provided precise coordinate batch.
rescue 15,Rescue 15,33.7055,73.0615,verified,User-provided precise coordinate batch.
suparco,SUPARCO,33.7425,73.1345,verified,User-provided precise coordinate batch.
sabri gali,Sabri Gali,33.6415,73.0845,verified,User-provided precise coordinate batch.
salai centre,Salai Centre,33.7125,73.0885,verified,User-provided precise coordinate batch.
satra meel,Satra Meel,33.7855,73.2535,verified,User-provided precise coordinate batch.
school board stop,School Board Stop,33.6555,73.0535,verified,User-provided precise coordinate batch.
secretariate police station,Secretariate Police Station,33.7385,73.1045,verified,User-provided precise coordinate batch.
shah wali colony road,Shah Wali Colony Road,33.7555,72.8245,verified,User-provided precise coordinate batch.
shahdara,Shahdara,33.7715,73.1255,verified,User-provided precise coordinate batch.
shahzad town,Shahzad Town,33.6735,73.1615,verified,User-provided precise coordinate batch.
shakarparian park,Shakarparian Park,33.6915,73.0815,verified,User-provided precise coordinate batch.
sitara market,Sitara Market,33.7055,73.0685,verified,User-provided precise coordinate batch.
social security hospital,Social Security Hospital,33.6212,73.0035,verified,User-provided precise coordinate batch.
